Name,Category,Bio,Aliases,Flights,Documents,Connections,In Black Book,Nationality
Maya Dubin,other,,,9,2,18,No,American
Alexia Wallert,associate,Appeared on 12 flights with Epstein (1999-2002). Named in a deposition alongside Banu Koluk-Koylu.,Alexia Wallagre,12,2,17,No,American
Dana Burns,associate,Assistant to Maxwell and Brunel; appeared on 12+ Epstein flights; received immunity in 2008 NPA.,Kimberly Burns; DB; Dana Perry; Danna Perry; Dana Kimberly Burns; Kim Burns,29,109,17,No,American
Prince Andrew,royalty,Stripped of all royal titles Oct 2025; arrested Feb 2026 on misconduct charges; settled Giuffre civil suit for approx 12M in 2022.,Duke of York; Andrew Albert Christian Edward,28,5531,17,Yes,British
Donald Trump,politician,"45th/47th President; 3,000+ document mentions; DOJ withheld then released files containing assault allegation (Mar 2026)",Don Trump,10,3835,16,Yes,American
Greg Bledsoe,other,Emergency physician and former Arkansas Surgeon General.,Gregory Bledsoe,5,18,16,No,American
Joel Pashcow,business,"Real-estate businessman, longtime Mar-a-Lago member.",,12,61,16,No,
Lana Catterton,associate,Appeared on 8+ Epstein flight manifests.,,8,0,16,No,
Rodney Slater,politician,Former U.S. Secretary of Transportation (1997-2001); appeared on Epstein flight manifests for the 2002 Africa trip.,,6,44,16,No,American
Tatiana Kovylina,social,"Russian fashion model who walked for Victoria's Secret and major designers, appearing on Epstein's flight logs in 2005.",,11,0,16,No,Russian
David Mullen,associate,Epstein's private chef (2004-2005); interviewed by FBI; flew on Epstein's jet and lived at his properties.,Dave Mullen,23,346,15,No,American
Mandy Ellison,associate,Personal assistant listed in Epstein's black book.,,10,77,15,Yes,American
Mark Epstein,associate,Jeffrey's brother; 7 black book numbers; owned apartments used to house young women.,,19,38378,15,Yes,American
Ron Burkle,business,Billionaire investor listed in Epstein's black book and flight logs.,Ronald Wayne Burkle; Ronald Burkle,3,102,15,Yes,American
Banu Koluk-Koylu,associate,Appeared on 26 flights with Epstein in 2001. Named alongside Alexia Wallert in a deposition transcript.,Banu Koluk; Banu Cukuglu,26,10,14,No,Turkish
Catherine Derby,associate,Flew with Epstein's inner circle; Derby family linked to Epstein property management.,Katherine Darby,4,32,14,No,
Clare Hazell-Iveagh,socialite,British socialite listed in Epstein's black book.,Countess of Iveagh; Clare Hazell; Clare Iveagh,40,0,14,Yes,British
John Amerling,other,Lafayette Construction Services.,Jack Amerling,2,27,14,No,
Larry Summers,politician,Former U.S. Treasury Secretary; former Harvard President.,Lawrence Henry Summers; Lawrence Summers,9,6895,14,Yes,American
Pralaya Cuomo,other,Sex trafficking survivor and advocate; appeared on 2 Epstein flights.,,3,134,14,No,American
Rob Devito,associate,,,14,0,14,No,
Tiffany Gramza,associate,Former beauty queen who worked as Epstein assistant.,,21,3,14,No,American
Gary Blackwell,other,Unidentified passenger; 7 flights 1998-2004,,7,0,13,No,
Jimmy Cayne,business,Former Bear Stearns CEO; Epstein previously worked at Bear Stearns.,James Cayne,8,328,13,Yes,American
Joe Pagano,business,Aspen VC; 9 black book numbers; documented visits to Epstein townhouse; decades-long acquaintance.,Joseph Pagano,5,1485,13,No,
Lance Calloway,associate,Epstein's personal chef on Little St. James Island (2006-2009),,4,94,13,No,American
Michael Liffman,other,Appears on 28 Epstein flights and listed as a witness in civil litigation with 'knowledge of Defendant's conduct.',Michael Liffmann; Mike Liffman,28,2,13,No,
Alberto Pinto,other,French interior designer listed in Epstein's black book; Epstein visited his Paris studio at 11 rue d'Aboukir and commissioned him to design a private jet interior. Deceased.,,14,1357,12,Yes,French
Celina Midelfart,socialite,Norwegian businesswoman and socialite.,,19,7,12,Yes,Norwegian
Juan Pablo Molyneux,other,Interior designer listed in Epstein's black book.,Molyneux; Juan Molyneux,2,125,12,Yes,Chilean
Magali Blachon,staff,"French personal trainer and fitness coach from Toulouse who served as Epstein's personal trainer, appearing on 19 flights in 2002-2003.",Magale Blachou; Magali Blachon Bourgougnon; Macall Blachou,19,2,12,No,French
Nadia Bjorlin,celebrity,Actress (Days of Our Lives); name in Epstein flight manifests circa late 1999; daughter of conductor Ulf Bjorlin; no documented ongoing connection; no allegations.,,2,30,12,No,Swedish-American
Susan Hamblin,associate,Associate of Jeffrey Epstein who appears in his black book and email correspondence.,Sue Hamblin,11,83,12,Yes,
Boris Nikolic,academic,Gates's science advisor; introduced Gates to Epstein; named in Epstein's will.,,0,19448,11,No,Croatian-American
Ed Tuttle,politician,Architect and hotel designer in Epstein's network.,Edward Tuttle,9,41,11,Yes,American
Vanessa Breuer,associate,Flew with Epstein's core inner circle in 2006.,,2,4,11,No,
Andy Stewart,associate,"Passenger, GM (General Manager)",Andrew Stewart,16,15,10,No,
Bella Klein,associate,"Epstein accountant, 00K beneficiary in his will; daughters' tuition paid by Epstein; subpoenaed in USVI lawsuit.",,0,25696,10,No,American
John Stefanidis,associate,"Egyptian-born British interior designer who designed Leslie Wexner's 9 E 71st St townhouse, later Epstein's mansion. Appeared on 10 Epstein flights in 1993.",Stefanidis; J. Stefanidis,17,3,10,No,British
Melinda Luntz,other,Unidentified passenger; 6 flights 1998-2000; listed in Epstein's black book,Melinda Lutz,6,0,10,Yes,
Paula Epstein,associate,Jeffrey Epstein's mother. Appeared on 11 family flights (2000-2003) and received FedEx packages from his office.,Pauline Epstein; Paula Stolofsky,11,68,10,No,American
Pete Rathgeb,staff,"Florida-based contract pilot who flew Epstein's aircraft on 22 flights, identified alongside primary pilots Rodgers, Visoski, Hammond, and Roxburgh.",Peter Rathgeb,22,9,10,No,American
Ryan Dionne,associate,Contractor who received wire payments from Epstein and is listed as a witness with potential knowledge of trafficking conduct.,,16,107,10,No,American
Shelley Lewis,associate,Former Epstein girlfriend; ran Chocolate Sauce Books children's book agency.,,39,116,10,Yes,American
Christina Estrada,socialite,Former Pirelli supermodel; appeared on 7 Epstein flight manifests 1992-2000; listed in black book,Christina Estrada Juffali; Christina Juffali,7,0,9,Yes,American
Jeff Schantz,associate,Attorney at J. Epstein and Company who served as co-trustee of the Epstein 2001 Trust and traveled on Epstein's aircraft.,Jeffrey Schantz,4,261,9,No,
Melanie Walker,academic,Neurosurgeon; key Epstein-Gates bridge; science advisor to both; DOJ emails show $6M funding request.,Melanie S. Walker; Dr. Melanie Walker; Melanie Starnes; Melanie Starves,3,25,9,No,American
Naomi Campbell,celebrity,British supermodel in Epstein's black book (5 phones); flew 3-5 times with convicted trafficker Jean-Luc Brunel; FBI witness says Epstein used Campbell's name as Victoria's Secret recruitment lure; active email contact through January 2016.,,10,438,9,Yes,British
Walter Cronkite,celebrity,"CBS News anchor 1962-1981; appeared on Epstein flight log, Newark to St. Thomas, January 2007 (deceased 2009)",,1,27,9,No,American
Bill Gates,business,Microsoft co-founder; met Epstein 6+ times post-conviction; DOJ files include Epstein's unverified draft emails and financial support for an alleged Gates associate.,William Henry Gates III; William Gates,1,3472,8,No,American
David Boies,legal,Attorney who represented Virginia Giuffre and Epstein survivors; secured 290M JPMorgan settlement and 75M Deutsche Bank settlement in 2023.,David Boles; Dave Boies,4,770,8,No,American
David Rodgers,associate,Epstein pilot whose flight logs became key evidence.,,1,872,8,Yes,American
Ellen Spencer,socialite,Social contact listed in Epstein's black book.,,3,170,8,Yes,American
Felicia Taylor,celebrity,CNN/CNBC business anchor; in Epstein black book (p. 53) and 1996 flight logs; deceased 2023.,Felicia Rodrica Sturt Taylor,3,395,8,Yes,American
Fleur Perry Lang,associate,Ex-wife of Epsteins chef Adam Perry Lang; appeared on flight logs,Fleur PerryLang; Fleur Lang,5,0,8,No,American
Henry Jarecki,associate,"Psychiatrist, Moviefone co-founder; black book (10 numbers); trafficking lawsuit.",Dr. Jarecki; Dr. Henry Jarecki,3,576,8,Yes,German-American
Jonathan Mano,associate,Certifying instructor.,,10,42,8,No,
Juan Alessi,associate,Former house manager at Epstein's Palm Beach estate who testified at the Ghislaine Maxwell trial.,Juan Patricio Alessi,2,556,8,Yes,American
Juliette Bryant,associate,Alleged victim,,5,62,8,No,
Lawrence Krauss,academic,"Physicist who defended Epstein post-conviction, organized his 2006 conference, and sought his advice on misconduct allegations.",Larry Krauss,1,6557,8,No,American
Les Wexner,business,L Brands and Victoria's Secret founder; Epstein's primary financial patron; named FBI co-conspirator in 2019 document; deposed by House Oversight Committee February 2026.,Leslie Wexner; Leslie H. Wexner; Les Wexner,19,1520,8,Yes,American
Linda Pinto,associate,Paris-based interior designer who runs Cabinet Alberto Pinto following her brother's death in 2012. She managed Epstein's interior design projects from Paris and appeared on a March 2001 flight log alongside Virginia Roberts (Giuffre).,,8,1432,8,No,
Lynn Forester de Rothschild,business,"CEO, E.L. Rothschild; black book with 6 numbers; court document emails.",Lynn Forester; Lady de Rothschild; Rothschild; Lynn Rothschild,6,347,8,Yes,American-British
Marvin Minsky,academic,AI pioneer named in Giuffre court filings; deceased.,,2,1034,8,No,American
Stefanie Tidwell,associate,Flew to Epstein's island in June 2006 alongside Ruslana Korshunova.,,2,0,8,No,
Amanda Brudenell-Bruce,socialite,Socialite listed in Epstein's black book.,Amanda Brudenell; Amanda Bruce,2,0,7,Yes,British
Audrey Strauss,associate,Acting U.S. Attorney SDNY who brought the 2019 Maxwell indictment.,,0,749,7,No,
Bill Richardson,politician,"Former NM Governor and Clinton-era Energy Secretary; named by Giuffre; met Epstein 9+ times post-conviction; died Aug 9, 2023.",William Blaine Richardson III; William Richardson,6,1480,7,Yes,American
Cecile de Jongh,associate,Office Manager at Epstein's LSJE; former USVI Governor's wife,Jongh; Cecile Jongh,0,8701,7,No,American
Daphne Wallace,associate,USVI-based financial manager for Epstein (2010-2019); $1M beneficiary of Epstein's final trust.,,0,14326,7,No,American
Dawn Devito,staff,"Palm Beach massage contact listed in Epstein's black book, appearing on 37 flights from as early as September 1993.",Dawn James; Dawn James Devito,37,4,7,No,American
Ehud Barak,politician,Former Israeli PM and Defense Minister; extensive documented ties to Epstein including Israeli government-managed security at a Manhattan apartment where Barak regularly stayed.,,15,6056,7,Yes,Israeli
Frederic Fekkai,celebrity,"Celebrity hairstylist; in Epstein flight logs (2000, 2002); his Fifth Avenue salon used by Epstein to pay for styling appointments for women in his circle.",,3,1469,7,No,French-American
Gary Kerney,associate,"Construction professional listed in Epstein's black book; 2011 email shows Epstein instructed him to ""bury everything"" on the island.",,2,7331,7,No,American
Inca Doerrig,socialite,,Inka Doerrig,6,0,7,No,
Jessica Bauer,other,,,6,0,7,No,
Leon Black,business,Apollo Global Management co-founder; paid Epstein $170M (2012-2017); $62.5M USVI immunity settlement; deposition ordered in BofA survivor lawsuit March 2026.,,9,13690,7,Yes,American
Peter Marino,other,Architect listed in Epstein's black book.,Pete Marino,4,116,7,Yes,American
Warren Spector,business,Former Bear Stearns co-president; named in Epstein flight logs.,,2,77,7,No,American
Alan Greenberg,business,Bear Stearns chairman who hired and mentored Epstein in 1976 despite his lack of a college degree. Died 2014.,Ace Greenberg; Al Greenberg,2,437,6,Yes,American
Audrey Raimbault,socialite,French golfer/actress linked to Prince Andrew; flew on Epstein's plane 4 times in October 1999,Audrey Semeraro,4,0,6,No,French
Bradley Edwards,legal,Victims attorney representing 50-plus survivors; helped secure 290M JPMorgan and 75M Deutsche Bank settlements; won Polaris Star Award 2024; fought DOJ redaction failures 2026.,Brad Edwards; Bradley J. Edwards; Bradley Edwards; Edwards,0,3922,6,No,American
Forrest Sawyer,celebrity,"ABC/NBC News anchor, Peabody winner; appeared on an Epstein flight manifest.",Forest Sawyer,1,27,6,No,American
IGGY Mandy,associate,Commenter,,5,114,6,No,
Ira Zuckerman,other,Unidentified flight manifest passenger; 5 flights 1991-1993,,5,0,6,No,
Jes Staley,business,Former Barclays CEO permanently banned by UK FCA for misleading regulators about his close friendship with Epstein; fined 1.1 million pounds in July 2025.,James Edward Staley,6,11182,6,Yes,American
Karyna Shuliak,associate,Epstein's girlfriend; $631K in tuition payments; Columbia dental school admission via donation pressure.,,0,35778,6,No,Belarusian
Lynn Fontanilla,staff,"Housekeeper at Epstein's 9 East 71st Street mansion in New York. Wife of Luciano ""Jojo"" Fontanilla. Listed in both Epstein black books (circled, indicating law enforcement interest). Named in civil complaint alleging facilitation of trafficking. Estate beneficiary via ""Lyn & Jojo, LLC"" — designated to receive $3M and a NYC property. Among Epstein's longest-serving staff since the 1990s.",Jun-Lyn Fontanilla; Rosalyn Fontanilla; Lyn Fontanilla,0,2,6,Yes,Filipino
Minor Victim-3,associate,Alleged victim of sexual abuse.,,0,197,6,No,
Nicole Junkermann,socialite,"German investor with deep, sustained 16-year connection to Epstein spanning flights, finances, and business.",,4,4374,6,Yes,German
Nina Zagat,business,Zagat Survey co-founder; flew on Epstein jet to TED 2002 with Pinker and Laybourne; multiple dining records.,Nina Safronoff Zagat,2,367,6,No,American
Noam Chomsky,academic,"MIT Institute Professor Emeritus and linguist; introduced to Epstein by Lawrence Krauss in 2012. Contact documented 2012 through 2019, including ranch lunches, townhouse dinners, Paris apartment visit, and media strategy advice on Feb 23, 2019.",Avram Noam Chomsky,1,4248,6,No,American
Patrick Ochin,associate,"Confirmed on multiple Paris flights with Epstein, Maxwell, and Brunel between 2003 and 2004.",,4,43,6,No,French
Paul Morris,business,Deutsche Bank managing director; Epstein's primary private banker (2013-2016),,0,29875,6,No,American
Ruslana Korshunova,other,Kazakh supermodel who visited Epstein's island at 18; died in 2008 at age 20.,Ruslana Korshonova,1,6,6,No,Kazakhstani
Sandy Berger,politician,Former National Security Advisor; called Epstein after search warrant executed (deceased),Samuel Richard Berger,1,107,6,No,American
Steve Miller,academic,Mentioned in photos with other Harvard professors.,Steven Miller,2,168,6,No,
Alex Reznik,business,"Russian investment banker; flew on Epstein's aircraft to Palm Beach (March 2006); in Epstein's email contacts from September 2005. Career: Credit Suisse London, Merrill Lynch, VTB Capital.",,0,6,5,No,Russian
Andres Pastrana,politician,"Former President of Colombia; flew with Epstein, listed in black book.",Andres Pastrana Arango; Andrés Pastrana Arango; Arango; Andrés Arango,2,28,5,Yes,Colombian
"Beaudouin, Robert MD",associate,Prescribing Doctor,"Beaudouin, MD; Beaudouin, Robert",1,9,5,No,
CHRISTIAN R. EVERDELL,associate,Defense attorney at Cohen and Gresser LLP who represented Ghislaine Maxwell in her federal sex trafficking trial.,EVERDELL; CHRISTIAN EVERDELL,0,526,5,No,
Dave Mann,associate,"Appeared on 11 Epstein flight logs in Jan–Feb 1994 alongside Maxwell, Bobby Kennedy Jr, and Jimmy Cayne",David Mann; DAVE MANN,11,0,5,No,
Deepak Chopra,celebrity,"Wellness author and former UCSD clinical professor named more than 4,000 times in DOJ Epstein files. Emails document 12+ meetings, solicitation of Epstein funding for his Jiyo app, and an invitation to ""bring your girls"" to Israel. A $50,000 check from an Epstein foundation to the Chopra Foundation was reportedly returned. UCSD ended his affiliation in June 2026.",,0,3691,5,No,Indian-American
Emad Hanna,associate,Project controller,,0,5204,5,No,
Erika Kellerhals,legal,Epstein's USVI attorney; Butterfly Trust trustee; organized Gratitude America ($8.175M shell); 457 EFTA documents.,,0,5506,5,No,
Jim Worden,associate,Flew with Epstein's defense attorney Gerald Lefcourt during NPA negotiations.,James Worden,20,17,5,No,
John Brockman,other,Literary agent; Edge Foundation president; Epstein funded 74% of Edge budget ($638K of $857K),Jack Brockman,1,3353,5,Yes,American
Joulia Starodoumovit,associate,Appeared on 3 Epstein flights; no public information available.,,3,0,5,No,
Minor Victim-1,associate,One of the alleged victims of Maxwell and Epstein's abuse.,,0,173,5,No,
Minor Victim-2,associate,Another alleged victim of Maxwell and Epstein's abuse.,,0,180,5,No,
Nina Keita,associate,Niece of Ivory Coast President Ouattara; acted as Epstein's fixer connecting him to West African political leaders.,,1,548,5,No,Ivorian
Robert F. Kennedy Jr.,politician,"U.S. HHS Secretary; flew on Epstein's jet, listed in black book.",RFK Jr.; Bobby Kennedy; Robert Jr.; Robert F. Kennedy; Bob F. Kennedy Jr.; Rob F. Kennedy Jr.,2,70,5,Yes,American
Robin Plant,other,Unidentified passenger; 6 flights 1996-1997; listed in Epstein's black book,,6,0,5,Yes,
Steven Pinker,academic,"Harvard cognitive scientist; flight logs, defense linguistic opinion, and Edge.org network connections to Epstein.",Steve Pinker,1,390,5,No,Canadian-American
Alexander Acosta,legal,U.S. Attorney who approved Epstein 2008 NPA; resigned as Labor Secretary 2019; testified to House Oversight Sept 2025; denied discussing financial crimes.,Alex Acosta; R. Alexander Acosta,0,1918,4,No,American
Andrew Farkas,business,"Billionaire real estate investor; co-owned USVI marina with Epstein; ~2,000 emails over a decade; prison visitor.",Andrew L. Farkas; Andy Farkas; Drew Farkas,0,2722,4,Yes,American
Bobbi C. Sternheim,legal,Maxwell's lead defense counsel; Top Secret/SCI clearance; Tartaglione curcio counsel.,Bobbi Sternheim; Sternheim,0,739,4,No,
Brett Ratner,celebrity,Film director (Rush Hour trilogy); 5 black book numbers; named in Epstein emails and calendar entries in 2017-2018; departed Warner Bros in 2017 after sexual misconduct allegations.,,3,122,4,Yes,American
David Mitchell,business,NYC real estate developer (Mitchell Holdings LLC) and longtime Epstein business associate.,Dave Mitchell,0,9615,4,No,American
Elizabeth (Libit) Johnson,associate,Passenger or special guest.,Johnson; Elizabeth Johnson; Liz (Libit) Johnson; Beth (Libit) Johnson; Betty (Libit) Johnson,3,11,4,No,
Flavio Briatore,business,F1 team boss and Billionaire club founder; 5 black book numbers; Monaco-London-NYC jet-set overlap with Epstein.,,1,33,4,Yes,Italian
James Murphy,associate,"Passenger on 14 Epstein flights in summer 1992, frequently traveling with Ghislaine Maxwell and Christine Kenneally",Jim Murphy,14,7,4,No,
Janusz Banasiak,associate,Epstein's Polish-born Palm Beach house manager and chauffeur for over a decade; testified in depositions about massage payments; Epstein paid his legal fees.,,0,5958,4,Yes,Polish-American
Jay Lefkowitz,legal,Kirkland and Ellis attorney; key Epstein defense counsel during the 2007-2008 non-prosecution agreement negotiations; former Bush administration envoy.,Jay Phillip Lefkowitz,0,1238,4,No,American
Jerry Goldsmith,associate,Contacted Jeffrey Epstein on 05/21/04.,,1,92,4,No,
Joi Ito,academic,"Former MIT Media Lab Director who resigned in 2019 over Epstein financial ties; Epstein called him ""one of us"" and placed him on Little Saint James with Reid Hoffman.",Joichi Ito,1,10902,4,No,Japanese-American
Judy Tuckerman,associate,Wexner Center Donor Circles chair; wife of Steve Tuckerman; flew on Epstein's plane 5 times,Judith Tuckerman; Judith Paula Tuckerman,5,0,4,No,American
Kristy Rodgers,associate,Appeared on 21 flights (2001-2004). Likely daughter of pilot David Rodgers who flew for Epstein for nearly 30 years.,Kristy Rogers,21,2,4,No,American
Lara Elizabeth Pomerantz,associate,Assistant United States Attorney.,Pomerantz; Lara Pomerantz,0,164,4,No,
Martin Weinberg,legal,Epstein defense attorney in the 2019 SDNY federal case; known for high-profile federal criminal defense work.,,0,2834,4,No,American
Mort Zuckerman,business,"Media mogul (NY Daily News, U.S. News) and Boston Properties co-founder; Epstein advised him on finances and leveraged their relationship to influence abuse coverage after 2008 conviction.",Mortimer Benjamin Zuckerman,4,3038,4,Yes,American
Nathan Myhrvold,business,Former Microsoft CTO; black book (12 phones) and flight logs.,Nathan Paul Myhrvold,0,2713,4,Yes,American
Patsy Rodgers,associate,,,10,0,4,No,
Pepe Fanjul,business,Sugar magnate and Palm Beach billionaire.,Jose Fanjul,1,99,4,Yes,Cuban-American
Peter Listerman,associate,Russian businessman and model scout in Epstein's network.,Pete Listerman; Pyotr Listerman; Petr Listerman,0,19,4,Yes,Russian
Peter Mandelson,politician,British Labour politician; former European Commissioner and UK ambassador to the US; arrested Feb 2026 on suspicion of leaking market-sensitive government information to Epstein.,Baron Mandelson; Pete Mandelson,2,6997,4,Yes,British
Richard Joslin,business,CFO of Leon Black family office; coordinated Epstein tax and cash flow work on $158M+ advisory payments.,Dick Joslin; Rick Joslin,0,5814,4,No,
Sarah Ferguson,royalty,Ex-wife of Prince Andrew; took 15K pounds from Epstein 2010; March 2026 DOJ files revealed she privately apologized to Epstein after publicly criticizing him.,Duchess of York; Fergie,3,779,4,Yes,British
Stephen Hawking,academic,Theoretical physicist who visited Epstein's island in 2006 and 2012; named in court filings alongside Clinton and Prince Andrew; Epstein paid for wheelchair-accessible submarine dive.,,3,440,4,No,British
Steve Tuckerman,business,"New Albany, OH luxury home builder; in Epstein's black book with 9 phone numbers; flew on Epstein's plane 5 times",Steven Tuckerman; Steven A. Tuckerman,5,0,4,Yes,American
Sultan Ahmed bin Sulayem,business,DP World CEO; unredacted by Congress as one of six hidden names in Epstein files.,Sultan bin Sulayem; bin Sulayem; Sulayem; Ahmed bin Sulayem,0,4214,4,No,Emirati
Teddy Forstmann,business,Billionaire buyout pioneer; founder of IMG.,Theodore Joseph Forstmann,3,40,4,Yes,American
